Binomial.1.2,Mass.Source.Formatted,Mass.Source.Original,Mass.Comparison.Source.Formatted,Mass.Comparison.Source.Original,Browsing.Grazing.Source.Formatted,Browsing.Grazing.Method,Browsing.Grazing.Notes,Browsing.Grazing.Source.Original,Fermentation.Type.Source.Formatted,Fermentation.Type.Source.Original,Substrate.Source.Formatted,Substrate.Source.Original,Food.Handling.Source.Formatted,Food.Handling.Source.Original,Foot.Type.Source.Formatted,Foot.Type.Source.Original,Herd.Size.Source.Formatted,Herd.Size.Source.Original,Digging.Rooting.Source.Formatted,Digging.Rooting.Source.Original,k_medoid_herbivore,Mass.Method,Mass.Comparison,Fermentation.Type.Method,Fermentation.Type.Notes,Substrate.Notes,Food.Handling,Food.Handling.Notes,Foot.Type.Coarse,Foot.Type.Notes,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Other.Notes
Megaceroides_algericus,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Abbazzi 2004 Rendiconti Lincei,Estimated Craniodental Species,NA,"Abbazzi, L. (2004). Remarks on the validity of the generic name Praemegaceros Portis 1920, and an overview on Praemegaceros species in Italy. Rendiconti Lincei, 9(15), 115â€“132. Retrieved from https://link.springer.com/content/pdf/10.1007%2FBF02904712.pdf",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Croitor 2016 Geobios,"1, 104, Croitor 2016, Geobios 748",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,Considered semi/periaquatic due to morphological similarity to Elaphurus davidianus and tooth morphology,Mouth,,hoofed,2-toed unguligrade,NA,NA,NA,NA,NA,NA,,,,NA
Camelops_hesternus,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Akersten et al. 2018 Quaternary Research,Estimated Observed Species,NA,"Akersten, W. A., Foppe, T. M., & Jeffersons, G. T. (2018). New Source of Dietary Data for Extinct Herbivores. QUATERNARY RESEARCH, 30, 92â€“97. https://doi.org/10.1016/0033-5894(88)90090-7",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,soft,,0,0,0,0,NA,NA,,,,NA
Myotragus_balearicus,Turvey and Fritz 2011 Philos Trans R Soc Lond B,Philosophical Transactions fo the Royal Society of London Series B 366: 2564-2576 (2011),NA,NA,Alcover et al. 1999 Biological Journal of the Linnean Society,Estimated Observed Species,coprolites,"ALCOVER, J. A., PEREZ-OBIOL, R., YLL, E.-I., & BOVER, P. (1999). The diet of Myotragus balearicus Bate 1909 (Artiodactyla: Caprinae), an extinct bovid from the Balearic Islands: evidence from coprolites. Biological Journal of the Linnean Society, 66(1), 57â€“74. https://doi.org/10.1111/j.1095-8312.1999.tb01917.x",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,Most likely foraged on steep cliffs,Mouth,,hoofed,two-toed unguligrade,NA,NA,NA,NA,NA,NA,,,,"Very strange animal - eyes pointed forward, teeth unusual and incisors did not stop growing (like a rodent), body could start and stop growth, much like a crocodile (Köhler, M., and Moyà-Sola, S, (2009), ‘Physiological and life history strategies of a fossil large mammal in a resource-limited environment’, PNAS. 106 (48) 20354-58)"
Megatherium_americanum,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Bargo 2001 Acta Palaeontologica Polonica,Estimated Craniodental Species,NA,"Bargo, M. S. (2001). The ground sloth Megatherium americanum: Skull shape, bite forces, and diet. Acta Palaeontologica Polonica, 46(2), 173â€“192.",McDonald and Pelikan 2006 Quaternary International,Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,Pujos et al. 2012 Journal of Mammalian Evolution,"Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths",Bargo et al. 2005 Journal of Morphology,Bargo et al. 2005. Journal of Morphology,Naish 2012 Tetrapod Zoology,"Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Pujos et al. 2012,yes,Reported,NA,Expert Suborder (Sloths),NA,NA,Prehensile lip,,soft,"Some taxa may have been bipedal, not quantified",0,0,2,0,NA,NA,absent,Morphology,,NA
Doedicurus_clavicaudatus,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Bocherens et al. 2017 Gondwana Research,Estimated Isotopes (C13+N15) Genus,"Very high isotopic value suggesting grazing, or unusual feeding morphology. They use Î´13Ccoll and Î´13Capatite","Bocherens, H., Cotte, M., Bonini, R. A., Straccia, P., Scian, D., Soibelzon, L., & Prevosti, F. J. (2017). Isotopic insight on paleodiet of extinct Pleistocene megafaunal Xenarthrans from Argentina. Gondwana Research, 48, 7-14. https://doi.org/10.1016/J.GR.2017.04.003",Smith et al. 2010 Nature Geoscience,Smith et al. 2010,Bocherens et al. 2017 Gondwana Research,Bocherens et al. 2017,Inferred,Inferred,Superina and Loughry 2011 Journal of Mammalian Evolution,Superina and Loughry 2011,NA,NA,NA,,yes,Reported,NA,Inferred: methods unclear but is a likely possibility,"The extant relatives, armadillos, are insectivores and have simple sac stomachs. Some have suggested the same for glyptodonts (Bocherens et al. 2017), but how they could sustain their metabolism as herbivores without fermentation seems dubious. Bocherens et al. 2017 found that their isotopic values (for Doedicurus spp, Glyptodon spp, Glyptotherium) suggested either aquatic habitat or a high fermentation rate. Vizcaino et al. 2011 suggested that given the estimated low metabolic rate of Xenarthans but the relatively complex teeth of cingulates compared to sloths, that sloths have higher fermentation in digestive tract than glyptodonts. These animals were likely hindgut and likely hingut colon, since there are no large mammals that use caecums","High isotopic values suggest aquatic diet, and ichnosites show presence in 1 marshland in South America (McDonald 2005)",Mouth,,soft,,NA,NA,NA,NA,NA,NA,,,,NA
Hippopotamus_lemerlei,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Bond et al. 2008 Journal of Biogeography,Estimated Isotopes (C13) Species,NA,"Bond, W. J., Silander Jr, J. A., Ranaivonasy, J., & Ratsirarson, J. (2008). The antiquity of Madagascarâ€™s grasslands and the rise of C4 grassy biomes. Journal of Biogeography, 35(10), 1743â€“1758. https://doi.org/10.1111/j.1365-2699.2008.01923.x",Extrapolated based on extant relatives,extrapolated based on extant relatives,Boisserie 2001 Annales dEthiopie,"Boisserie Jean-Renaud. Systématique phylogénétique des Hippopotamidae fossiles d'Afrique : problèmes actuels. In: Annales d'Ethiopie. Volume 17, année 2001. pp. 185-204",NA,NA,Reported morphology Genus,Reported morphology Genus,Boisserie 2001 Annales dEthiopie,"Boisserie Jean-Renaud. Systématique phylogénétique des Hippopotamidae fossiles d'Afrique : problèmes actuels. In: Annales d'Ethiopie. Volume 17, année 2001. pp. 185-204",NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,soft,,0,0,0,0,Solitary/pairs,NA,,,,NA
Capromeryx_minor,Davis 2017 Proc. of the Royal Society B,"Davis, M. 2017. What North AmericaÌ¢‰âÂ‰ã¢s skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",NA,NA,Bravo Cuevas et al. 2013 Revista Mexicana de Ciencias Geologicas,Estimated Isotopes (C13) Species,,"Bravo-Cuevas, V. M., Jimenez-Hidalgo, E., Cabral-Perdomo, M. A., & Priego-Vargas, J. (2013). Taxonomy and notes on the paleobiology of the late Pleistocene (Rancholabrean) antilocaprids (Mammalia, Artiodactyla, Antilocapridae) from the state of hidalgo, central Mexico. Revista Mexicana de Ciencias Geologicas, 30(3), 601â€“613.",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,NA,NA,,,,NA
Equus_francisci,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,"Bravo Cuevas et al. 2017 Palaeogeography, Palaeoclimatology, Palaeoecology",Estimated Isotopes (C13+018) Species,,"Bravo-Cuevas, V. M., Rivals, F., & Priego-Vargas, J. (2017). Paleoecology (Î´13C and Î´18O stable isotopes analysis) of a mammalian assemblage from the late Pleistocene of Hidalgo, central Mexico and implications for a better understanding of environmental conditions in temperate North America (18Â°â€“36Â°N Lat.). Palaeogeography, Palaeoclimatology, Palaeoecology, 485, 632â€“643. https://doi.org/10.1016/J.PALAEO.2017.07.018",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from extant relatives,Inferred from extant relatives,NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,Unidactyl hoof,NA,NA,NA,NA,NA,NA,,,,NA
Protemnodon_roechus,Johnson 2007 Mammal Extinctions,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,"Butler et al. 2014 Palaeogeography, Palaeoclimatology, Paleoecology",Estimated Dental wear (mesowear) Species,"Considered a Browser morphologically, but microwear analysis indicates grazing","Butler, K., Louys, J., & Travouillon, K. (2014). Extending dental mesowear analyses to Australian marsupials, with applications to six Plio-Pleistocene kangaroos from southeast Queensland. Palaeogeography, Palaeoclimatology, Palaeoecology, 408, 11â€“25. https://doi.org/10.1016/J.PALAEO.2014.04.024",Extrapolated based on extant relatives,extrapolated based on extant relatives,"Inferred from Butler et al. 2014 Palaeogeography, Palaeoclimatology, Paleoecology","Inferred from Butler, K., Louys, J., & Travouillon, K. (2014). Extending dental mesowear analyses to Australian marsupials, with applications to six Plio-Pleistocene kangaroos from southeast Queensland. Palaeogeography, Palaeoclimatology, Palaeoecology, 408, 11â€“25. https://doi.org/10.1016/J.PALAEO.2014.04.024",NA,NA,Carey et al. 2011 Quaternary Science Reviews,Carey et al. 2011 Quaternary Science Reviews,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,forest,NA,,soft,"Like Macropus kangaroos, Protemnodon could be considered plantigrade or digitigrade",NA,NA,NA,NA,NA,NA,,,,NA
Troposodon_minor,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,"Butler et al. 2014 Palaeogeography, Palaeoclimatology, Paleoecology",Estimated Dental wear (mesowear) Species,Mesowear indicates <90% of diet is browse or graze (mixed-feeder by Butler definition). Morphology is of browser,"Butler, K., Louys, J., & Travouillon, K. (2014). Extending dental mesowear analyses to Australian marsupials, with applications to six Plio-Pleistocene kangaroos from southeast Queensland. Palaeogeography, Palaeoclimatology, Palaeoecology, 408, 11â€“25. https://doi.org/10.1016/J.PALAEO.2014.04.024; ",Extrapolated based on extant relatives,extrapolated based on extant relatives,"Inferred from Butler et al. 2014 Palaeogeography, Palaeoclimatology, Paleoecology",Inferred from Butler et al. 2014,NA,NA,Inferred from wallabies Long et al. 2002 JHU Press,Inferred from wallabies (Long et al. 2002 JHU Press),NA,NA,NA,,yes,Reported,NA,Reported Family,NA,Forest,NA,,soft,Very similar to wallaby. Only known from teeth,NA,NA,NA,NA,NA,NA,,,,NA
Megaloceros_giganteus,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,"Chritz et al. 2009 Palaeogeography, Palaeoclimatology, Palaeoecology",Estimated Isotopes (C13+018) Species,Tooth enamel isotopes,"Chritz, K. L., Dyke, G. J., Zazzo, A., Lister, A. M., Monaghan, N. T., & Sigwart, J. D. (2009). Palaeobiology of an extinct Ice Age mammal: Stable isotope and cementum analysis of giant deer teeth. Palaeogeography, Palaeoclimatology, Palaeoecology, 282(1â€“4), 133â€“144. https://doi.org/10.1016/J.PALAEO.2009.08.018",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",Inferred,inferred,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,NA,NA,NA,NA,NA,NA,,,,NA
Damaliscus_niro,Faurby et al. 2018 Ecology,PHYLACINE 1.2,NA,NA,Codron et al. 2008 Oikos,Estimated Isotopes (C13+018) Species,NA,"Codron, D., Brink, J. S., Rossouw, L., & Clauss, M. (2008). The evolution of ecological specialization in southern African ungulates: competition- or physical environmental turnover? Oikos, 117(3), 344â€“353. https://doi.org/10.1111/j.2007.0030-1299.16387.x",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,NA,NA,NA,,yes,Imputed,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,NA,NA,,,,NA
Megalotragus_priscus,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Codron et al. 2008 Oikos,Estimated Isotopes (C13+018) Species,NA,"Codron, D., Brink, J. S., Rossouw, L., & Clauss, M. (2008). The evolution of ecological specialization in southern African ungulates: competition- or physical environmental turnover? Oikos, 117(3), 344â€“353. https://doi.org/10.1111/j.2007.0030-1299.16387.x",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,NA,NA,,,,NA
Caipora_bambuiorum,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Cooke 2011 The Anatomical Record,Estimated Craniodental Species,,"Cooke, S. B. (2011). Paleodiet of Extinct Platyrrhines With Emphasis on the Caribbean Forms: Three-Dimensional Geometric Morphometrics of Mandibular Second Molars. The Anatomical Record: Advances in Integrative Anatomy and Evolutionary Biology, 294(12), 2073â€“2091. https://doi.org/10.1002/ar.21502",Extrapolated based on extant relatives,extrapolated based on extant relatives,Cartelle and Hartwig 1996 PNAS,"Cartelle, C., Hartwig, W. C. 1996. A new extinct primate among the Pleistocene megafauna of Bahia, Brazil. Proc. Natl. Acad. Sci. USA 93: 6405-6409",NA,NA,Reported morphology Family,Reported morphology family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,NA,,soft,,NA,3,NA,NA,NA,NA,,,,NA
Bos_primigenius,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Cromsigt et al. 2017 Restoration Ecology,Estimated Observed Species,NA,"Van Vuure, C. T. (2003). De oeros, het spoor terug.; ï»¿Cromsigt, J. P. G. M., Kemp, Y. J. M., Rodriguez, E., & Kivit, H. (2017). Rewilding Europeâ€™s large grazer community: How functionally diverse are the diets of European bison, cattle, and horses? Restoration Ecology, (2016), 1â€“9. https://doi.org/10.1111/rec.12661",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Inferred,Inferred,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,NA,NA,NA,NA,Gregarious,NA,,,,NA
Hippopotamus_madagascariensis,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Crowley and Samonds 2013 The Holocene,Estimated Isotopes (C13) Species,,"Crowley & Samonds, 2013 The Holocene",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Stuenes 1989 Journal of Vertebrate Paleontology,"1, 104, Stuenes S. 1989. Journal of Vertebrate Paleontology 9(3): 241-268",NA,NA,Reported morphology Genus,Reported morphology Genus,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,soft,,0,0,0,0,NA,NA,,,,NA
Glossotherium_robustum,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Czerwonogora et al. 2011 Neues Jahrbuch fur Geologie und Palaontologie,Estimated Isotopes (C13) Species,NA,"Czerwonogora, A., FariÃ±a, R. A., & Tonni, E. P. (2011). Diet and isotopes of Late Pleistocene ground sloths: first results for Lestodon and Glossotherium (Xenarthra, Tardigrada). Neues Jahrbuch FÃ_r Geologie Und PalÃ_ontologie - Abhandlungen, 262(3), 257â€“266. https://doi.org/10.1127/0077-7749/2011/0197",McDonald and Pelikan 2006 Quaternary International,Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,Grass 2014 Thesis,Inferring lifestyle and locomotor habits of extinct sloths through scapula morphology and implications for convergent evolution in extant sloths,NA,NA,Naish 2012 Tetrapod Zoology,"Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Pujos et al. 2012,yes,Reported,NA,Expert Suborder (Sloths),NA,NA,NA,,soft,"Some taxa may have been bipedal, not quantified",0,0,0,0,NA,NA,Digging/burrowing,Morphology,,NA
Lestodon_armatus,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Czerwonogora et al. 2011 Neues Jahrbuch fur Geologie und Palaontologie,Estimated Isotopes (C13) Species,NA,"Czerwonogora, A., FariÃ±a, R. A., & Tonni, E. P. (2011). Diet and isotopes of Late Pleistocene ground sloths: first results for Lestodon and Glossotherium (Xenarthra, Tardigrada). Neues Jahrbuch FÃ_r Geologie Und PalÃ_ontologie - Abhandlungen, 262(3), 257â€“266. https://doi.org/10.1127/0077-7749/2011/0197",McDonald and Pelikan 2006 Quaternary International,Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,Grass 2014 Thesis,Inferring lifestyle and locomotor habits of extinct sloths through scapula morphology and implications for convergent evolution in extant sloths,NA,NA,Naish 2012 Tetrapod Zoology,"Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Pujos et al. 2012,yes,Reported,NA,Expert Suborder (Sloths),NA,NA,NA,,soft,"Some taxa may have been bipedal, not quantified",0,0,0,0,NA,NA,Digging/burrowing,Morphology,"Best candidate for the large, extensive burrows of Brazil due to its size and digging ability",
Hoplophorus_euphractus,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Dantas and Cozzuol 2016 Marine Isotope Stage 3 in Southern South America,Estimated Expert Species,"""""""""""""""""""""""""""""""""Grazer""""""""""""""""""""""""""""""""","Dantas, M. A. T., & Cozzuol, M. A. (2016). The Brazilian Intertropical Fauna from 60 to About 10 ka B.P.: Taxonomy, Dating, Diet, and Paleoenvironments. In Marine Isotope Stage 3 in Southern South America, 60 KA B.P.-30 KA B.P. (pp. 207â€“226). Springer, Cham. https://doi.org/10.1007/978-3-319-40000-6_12",Smith et al. 2010 Nature Geoscience,Smith et al. 2010,Inferred from absence of evidence,Inferred from absence of evidence,Inferred,Inferred,Superina and Loughry 2011 Journal of Mammalian Evolution,Superina and Loughry 2011,NA,NA,NA,,yes,Reported,NA,Inferred: methods unclear but is a likely possibility,"The extant relatives, armadillos, are insectivores and have simple sac stomachs. Some have suggested the same for glyptodonts (Bocherens et al. 2017), but how they could sustain their metabolism as herbivores without fermentation seems dubious. Bocherens et al. 2017 found that their isotopic values (for Doedicurus spp, Glyptodon spp, Glyptotherium) suggested either aquatic habitat or a high fermentation rate. Vizcaino et al. 2011 suggested that given the estimated low metabolic rate of Xenarthans but the relatively complex teeth of cingulates compared to sloths, that sloths have higher fermentation in digestive tract than glyptodonts. These animals were likely hindgut and likely hingut colon, since there are no large mammals that use caecums",NA,Mouth,,soft,,NA,NA,NA,NA,NA,NA,,,,NA
Eremotherium_laurillardi,Davis 2017 Proc. of the Royal Society B,"Davis, M. 2017. What North America‰Û¡Ì_å»s skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",NA,NA,Dantas et al. 2013 Quaternary Research,Estimated Isotopes (C13) Species,NA,"Dantas, M. A. T., Dutra, R. P., Cherkinsky, A., Fortier, D. C., Kamino, L. H. Y., Cozzuol, M. A., â€_ Vieira, F. S. (2013). Paleoecology and radiocarbon dating of the Pleistocene megafauna of the Brazilian Intertropical Region. Quaternary Research, 79(1), 61â€“65. https://doi.org/10.1016/J.YQRES.2012.09.006",McDonald and Pelikan 2006 Quaternary International,Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,Pujos et al. 2012 Journal of Mammalian Evolution,"Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths",NA,NA,Naish 2012 Tetrapod Zoology,"Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Pujos et al. 2012,yes,Reported,NA,Expert Suborder (Sloths),NA,NA,NA,,soft,"Some taxa may have been bipedal, not quantified",0,2,0,0,NA,NA,absent,Morphology,,NA
Notiomastodon_platensis,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Dantas et al. 2013 Quaternary Research; Asedevo et al. 2012 Quaternary International,Estimated Isotopes (C13) + Estimated Observed + Dental wear (microwear) Species,"de Melo Franca et al. 2014 described as primarily a grazer (n = 4), whereas Asevedo et al. (2012) described as pure mixed feeder (3, 3) (n = 21)","Dantas et al. 2013 Quaternary Research. Asevedo, L., Winck, G. R., MothÃ©, D., & Avilla, L. S. (2012). Ancient diet of the Pleistocene gomphothere Notiomastodon platensis (Mammalia, Proboscidea, Gomphotheriidae) from lowland mid-latitudes of South America: Stereomicrowear and tooth calculus analyses combined. Quaternary International, 255, 42â€“52. https://doi.org/10.1016/j.quaint.2011.08.037",Extrapolated based on extant relatives,extrapolated based on extant relatives,Franca et al. 2014 Quaternary Science Reviews,de Melo Franca et al. 2014,NA,NA,Reported morphology Order,Reported morphology Order,"Aramayo et al. 2015 Palaeogeography, Palaeoclimatology, Palaeoecology",Aramayo et al. (2015),NA,,yes,Reported,NA,Reported Family,NA,NA,Proboscis,,soft,,NA,NA,0,0,Gregarious,Aramayo et al. (2015) attributed tracks (based on size) to N. platensis. Tracks showed gregarious herding behavior,,,,NA
Stockoceros_conklingi,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Davis 2017 Proc. of the Royal Society B,Estimated Expert Species,NA,"Davis, M. (2017). What North Americaâ€™s skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Society of London B: Biological Sciences, 284(1846), 1â€“7. https://doi.org/10.1098/rspb.2016.2116",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,NA,NA,,,,NA
Tetrameryx_shuleri,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Davis 2017 Proc. of the Royal Society B,Estimated Expert Species,NA,"Davis, M. (2017). What North Americaâ€™s skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Society of London B: Biological Sciences, 284(1846), 1â€“7. https://doi.org/10.1098/rspb.2016.2116",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,NA,NA,,,,NA
