"","Binomial","Common.Name","Species.Status","Domesticated","Class","Order","Family","Mass.g","Mass.Method","Mass.Method.Reliability","Mass.Notes","Mass.Reference","Diet.Graminoids","Diet.Browse.Fruit","Diet.Meat","Guild.only.Herbivory","Guild.w.Omnivory","Diet.Method","Diet.Method.Reliability","Diet.Notes","Diet.Reference","Fermentation.Type","Fermentation.Efficiency","Fermentation.Type.Method","Fermentation.Type.Method.Reliability","Fermentation.Type.Notes","Fermentation.Type.Reference","Limb.Morphology","Limb.Morphology.Method","Limb.Morphology.Method.Reliability","Limb.Morphology.Notes","Limb.Morphology.Reference","Habitat.Aquatic","Habitat.Terrestrial","Habitat.Arboreal","Habitat.Categorical","Habitat.Method","Habitat.Method.Reliability","Habitat.Notes","Habitat.Reference"
"1","Acratocnus odontrigonus","Puerto Rican Ground Sloth","Extinct before 1500 CE",0,"Mammalia","Pilosa","Megalonychidae",22990,"Proxy allometric relationship (femur head diameter)",2,"","Turvey and Fritz 2011 Philosophical Transactions of the Royal Society B",0,3,0,"Browser","Browser","Functional craniodental morphology; Proxy dental wear (microwear)",2,"Microwear suggests a frugivorous/folivorous lifestyle, probably also semi-arboeal (as suggested by craniodental morphology)","Pujos et al. 2012 Journal of Mammalian Evolution; Resar et al. 2013 Kirtlandia","Foregut Non-ruminant",2,"Inferred from Suborder",0,"Smith et al. 2010 Nature Geoscience lists sloths as hindgut fermenters, because of their body size. However, all extant sloth species are foregut fermenters (Clauss 2004 Mammal Review). Fermentation type is a conservative trait, and extant two-toed and three-toed sloth species are more closely related to various of the now-extinct ground sloths than they are to each other (Pujos et al. 2012 Journal of Mammalian Evolution; Presslee et al. 2019 Nature Ecology and Evolution). Foregut fermentation is either the ancestral fermentation type of all sloth species, or it evolved at least twice in distinct (extant) sloth lineages. The most parsimonious fermentation type for extinct sloths would thus be foregut fermentation. However, Megatheriids pose a biological anamoly as there are no foregut fermentation species known at those body sizes (largest known was Sivatherium, a giraffid at 1250 kg). Vizcaino et al. 2006 and Clauss et al. 2003 suggests therefore that the extremely large Megatheriid sloths (Genera Megatherium and Eremotherium) may have been hindgut fermenters. As is, without better evidence, we will consider all sloths outliers in the ilk of Sivatherium and classify them as foregut fermenters until better evidence is available.","McDonald and Pelikan 2006 Quaternary International; Clauss 2004 Mammal Review; Pujos et al. 2012 Journal of Mammalian Evolution; Presslee et al. 2019 Nature Ecology and Evolution; Vizcaino et al. 2006 Ameghiniana; Clauss et al. 2003 Oecologia","Plantigrade","Inferred from Family",2,"Most taxa had the capacity, given their wide structural vertebral, to forage upright, resting on their tail. Appendicular morphology, particularly of the humerus, of all sloth families, other than the Mylodontidae, suggest a generalized locomotion habit (de Oliveira and Santos 2008).","Naish 2012 Tetrapod Zoology; de Oliveira and Santos 2018 Journal of Morphology",0,1,1,"Semi.Arboreal","Functional morphology",1,"Functional morphology suggests a semi-arboreal habit.","Grass 2014 Thesis; White 1993 Journal of Vertebrate Paleontology"
"2","Acratocnus ye","","Extinct before 1500 CE",0,"Mammalia","Pilosa","Megalonychidae",21310,"Proxy allometric relationship (femur head diameter)",2,"","Turvey and Fritz 2011 Philosophical Transactions of the Royal Society B",0,3,0,"Browser","Browser","Functional craniodental morphology (Genus)",0,"Pujos et al. 2012 uses the width of mandibular symphysis relative to mandibular length to argue that this genus were browsers. No empirical, proxy evidence found per species. Resar 2012 analyzed microwear of an unidentified member of genus and suggested a folivorous/frugivorous diet.","Pujos et al. 2012 Journal of Mammalian Evolution; Resar 2012 Thesis","Foregut Non-ruminant",2,"Inferred from Suborder",0,"Smith et al. 2010 Nature Geoscience lists sloths as hindgut fermenters, because of their body size. However, all extant sloth species are foregut fermenters (Clauss 2004 Mammal Review). Fermentation type is a conservative trait, and extant two-toed and three-toed sloth species are more closely related to various of the now-extinct ground sloths than they are to each other (Pujos et al. 2012 Journal of Mammalian Evolution; Presslee et al. 2019 Nature Ecology and Evolution). Foregut fermentation is either the ancestral fermentation type of all sloth species, or it evolved at least twice in distinct (extant) sloth lineages. The most parsimonious fermentation type for extinct sloths would thus be foregut fermentation. However, Megatheriids pose a biological anamoly as there are no foregut fermentation species known at those body sizes (largest known was Sivatherium, a giraffid at 1250 kg). Vizcaino et al. 2006 and Clauss et al. 2003 suggests therefore that the extremely large Megatheriid sloths (Genera Megatherium and Eremotherium) may have been hindgut fermenters. As is, without better evidence, we will consider all sloths outliers in the ilk of Sivatherium and classify them as foregut fermenters until better evidence is available.","McDonald and Pelikan 2006 Quaternary International; Clauss 2004 Mammal Review; Pujos et al. 2012 Journal of Mammalian Evolution; Presslee et al. 2019 Nature Ecology and Evolution; Vizcaino et al. 2006 Ameghiniana; Clauss et al. 2003 Oecologia","Plantigrade","Inferred from Family",2,"Most taxa had the capacity, given their wide structural vertebral, to forage upright, resting on their tail. Appendicular morphology, particularly of the humerus, of all sloth families, other than the Mylodontidae, suggest a generalized locomotion habit (de Oliveira and Santos 2008).","Naish 2012 Tetrapod Zoology; de Oliveira and Santos 2018 Journal of Morphology",0,1,1,"Semi.Arboreal","Functional morphology",1,"Functional morphology suggests a semi-arboreal habit.","Pujos et al. 2012 Journal of Mammalian Evolution"
"3","Addax nasomaculatus","Addax","Extant",0,"Mammalia","Cetartiodactyla","Bovidae",70000.3,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",3,1,0,"Grazer","Grazer","Observed fecal analysis; Observed foraging",3,"Grazer of harsh deserts, subsisting on desert grasses. Will consume forbs and shrubs during drought, and relishes on bitter melon for water content. Can survive years without drinking water, if forage is of sufficient quality.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Hummel et al. 2008 Comparative Biochemistry and Physiology; Kingdon et al. 2013 Mammals of Africa","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"An extreme desert species that prefers open, flat topographies with sturdy soil substraes. During summer will move into areas with trees for shade, which appears to be a key habitat constraint.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Kingdon et al. 2013 Mammals of Africa"
"4","Aepyceros melampus","Impala","Extant",0,"Mammalia","Cetartiodactyla","Bovidae",52500.1,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",3,3,0,"Mixed Feeder","Mixed Feeder","Observed DNA metabarcoding",3,"Classic mixed feeding diet of grasses and shrubs","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Kartzinel et al 2015 Proceedings of the National Academy of Sciences of the United States of America","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"A water-dependent species of open woodland and savannas. No evidence that this species, or any relative, substantially uses arboreal or aquatic habitats","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Kingdon et al. 2013 Mammals of Africa"
"5","Aepyornis hildebrandti","Hildebrandt's Elephant Bird","Extinct before 1500 CE",0,"Aves","Aepyornithiformes","Aepyornithidae",283150,"Proxy allometric relationship (femur least-shaft circumference)",2,"","Hansford and Turvey 2018 Royal Society Open Science",0,3,0,"Browser","Browser","Proxy isotopes (C13) (Genus)",2,"Isotopes indicate a browsing diet of C3 and possible CAM vegetation. This family was likely nocturnal, based on reconstruction of optical lobe (Torres et al. 2018).","Clarke et al. 2006 Quaternary Science Reviews; Tovondrafale et al. 2014 Malagasy Nature; Torres et al. 2018 Proceedings of the Royal Society B","Hindgut Colon",1,"Inferred from Infraclass; Inferred from diet",0,"No empirical evidence nor expert opinions regarding the fermentation type of these massive birds. Their nearest, albeit very distant, relative are kiwis in New Zealand (Mitchell et al. 2014), who are insectivores. Given their massive size, and the evolution of colon-based fermentation among other large-bodied ratites (rheas and ostriches), we are going to infer hindgut colon digestion. However, note that emus and cassuaries have only simple guts. It should be noted that all ratites lack crops (Sales 2006).","Sales 2006 Avian and Poultry Biology Reviews; Mitchell et al. 2014 Science","Digitigrade","Observed Genus",3,"Other than the miharung, which was unguligrade, and loons and grebes, which are plantigrade, all other birds are digitigrade.","Gill 2001 Ornithology",0,1,0,"Terrestrial","Inferred from absence of evidence",0,"No evidence found that elephant birds significantly used aquatic habitats. Given their body size they were certainly not arboreal.",""
"6","Aepyornis maximus","Giant Elephant Bird","Extinct before 1500 CE",0,"Aves","Aepyornithiformes","Aepyornithidae",409500,"Proxy allometric relationship (femur least-shaft circumference)",2,"","Hansford and Turvey 2018 Royal Society Open Science",0,3,0,"Browser","Browser","Proxy isotopes (C13) (Genus)",2,"Isotopes indicate a browsing diet of C3 and possible CAM vegetation. This family was likely nocturnal, based on reconstruction of optical lobe (Torres et al. 2018).","Clarke et al. 2006 Quaternary Science Reviews; Tovondrafale et al. 2014 Malagasy Nature; Torres et al. 2018 Proceedings of the Royal Society B","Hindgut Colon",1,"Inferred from Infraclass; Inferred from diet",0,"No empirical evidence nor expert opinions regarding the fermentation type of these massive birds. Their nearest, albeit very distant, relative are kiwis in New Zealand (Mitchell et al. 2014), who are insectivores. Given their massive size, and the evolution of colon-based fermentation among other large-bodied ratites (rheas and ostriches), we are going to infer hindgut colon digestion. However, note that emus and cassuaries have only simple guts. It should be noted that all ratites lack crops (Sales 2006).","Sales 2006 Avian and Poultry Biology Reviews","Digitigrade","Observed Genus",3,"Other than the miharung, which was unguligrade, and loons and grebes, which are plantigrade, all other birds are digitigrade","Gill 2001 Ornithology",0,1,0,"Terrestrial","Inferred from absence of evidence",0,"No evidence found that elephant birds significantly used aquatic habitats. Given their body size they were certainly not arboreal.",""
"7","Agalmaceros blicki","","Extinct before 1500 CE",0,"Mammalia","Cetartiodactyla","Cervidae",60000,"Method unknown",0,"Primary source inaccessible","Smith et al. 2003 Ecology",0,3,0,"Browser","Browser","Expert Opinion",0,"No empirical evidence found.","Smith et al. 2018 Science; Smith et al. 2003 Ecology","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Inferred from Family",2,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed low sample size (1-5) habitat use; Inferred from absence of evidence",0,"No evidence of aquatic habitat use in this species or extant relatives","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"8","Ailuropoda melanoleuca","Giant Panda","Extant",0,"Mammalia","Carnivora","Ursidae",108400,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",0,3,1,"Browser","Browser","Observed fecal analysis; Observed foraging",3,"The classic bamboo specialist. Bamboo is seen as browse, rather than a grass (taxonomically more correct) because it is lignified and hence closer to woody vegetation.","Wilson and Mittermeier 2009 Handbook of the Mammals of the World","Simple Gut",0,"Observed Species",3,"Despite their plant-based diet of bamboo, panda bears retain a simple carnivore style stomach, which substantially reduces their digestive efficiency.","Hume 2002 Acta Zoologica Sinica; Dierenfeld et al. 1982 The Journal of Nutrition","Plantigrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"Panda bears are largely terrestrial consumers of bamboo. Iwaniuk et al. 2000 lists panda bears as semi-arboreal as they do climb frequently and possess 'false-thumbs' apparently adapted for tree-climbing. However, given that tree-climbing appears to be opportunistic we are scoring this species as terrestrial, recognizing that this is a debatable classification.","Wilson and Mittermeier 2013 Handbook of the Mammals of the World; Iwaniuk et al. 2000 Canadian Journal of Zoology"
"9","Ailurops ursinus","Bear Cuscus","Extant",0,"Mammalia","Diprotodontia","Phalangeridae",10000,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",0,3,0,"Browser","Browser","Observed fecal analysis",3,"Nugraha et al. 2017 found that their primary diet was shoots and young leaves. Folivorous. Similar results by Repi et al. 2019 Biodiversitas, finding a completely folivorous diet with fruits composing ~1%.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World; Nugraha et al. 2017 Jurnal Wasian; Repi et al. 2019 Biodiversitas","Hindgut Caecum",1,"Observed Genus",3,"Hindgut caecum fermenters are generally smaller-bodied than hindgut colon fermenters. In colon fermenters the caecum is largely modified to become part of the colon, whereas in caecum fermenters, they remain separate structures. Caecums are generally modified into complex structures that retain solutes and fine particles for fermentation while larger particles are excreted through colon, reducing the extent of plant-wall breakdown.","Hume 2002 Acta Zoologica Sinica","Plantigrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,0,1,"Arboreal","Observed habitat use",3,"This species prefers undisturbed moist,  lowland forests, from sea level up to as high as ~1000m. This species appears to be almost exclusively arboreal.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World"
"10","Alcelaphus buselaphus","Hartebeest","Extant",0,"Mammalia","Cetartiodactyla","Bovidae",171001.5,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",3,1,0,"Grazer","Grazer","Observed DNA metabarcoding; Observed fecal analysis; Proxy isotopes (C13)",3,"Specialized grazers, as supported by DNA metabarcoding and isotopes, which indicate 95-100% of diet is grass. However, in some studies browse has been observed in fecal contents and stomach contents. Observed dietary composition in one study by Codron et al. 2018 found 25% of diet was browse. Given that this reflects an unusual condition, potentially of animals on a starvation diet, we will score browse only as 1. It could also be arguably scored as a 0.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Venter and Kalube-Sabiti 2016 African Journal of Wildlife Research; Pansu et al. 2019 Journal of Ecology; Codron et al. 2018 Ecology and Evolution; Kingdon et al. 2013 Mammals of Africa","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"A species of grassland - woodland edge. Historically, some subspecies were common in desert and semi-desert habitats but have since been hunted out.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Kingdon et al. 2013 Mammals of Africa"
