Column,Description,Levels / Range,Type
Binomial,"Mammalian scientific names correspond to PHYLACINE v1.2.1 (Faurby et al. 2018) and the IUCN Redlist Version 2016-3 (2016). Avian taxonomy was based on most recent peer-reviewed literature. Post-domestic species are named with their post-domestic subspecies epithet (Groves and Grubb 2011 John Hopkins University Press). E.g. post-domestic donkeys are Equus_africanus_asinus, while their pre-domestic ancestors are Equus_africanus.",545 binomial names,Categorical
Common.Name,Species common name,432 common names,Categorical
Species.Status,"Global species status. ""Extant"", ""Extinct before 1500 CE"", ""Extinct after 1500 CE"", ""Extinct after 1500 CE, but wild in introduced range"", or ""Extinct before 1500 CE, but wild in introduced range"". Introduction status from Lundgren et al. 2020 PNAS.","""Extant"", ""Extinct before 1500 CE"", ""Extinct after 1500 CE"", ""Extinct before 1500 CE, but wild in introduced range"", ""Extinct before 1500 CE, but wild in introduced range""",Categorical
Domesticated,"Binary variable indicating if a species was domesticated and is now wild (1) or was never domesticated (0). Domestic species differ from non-domestic species in some trait values, particularly body mass.",0 / 1,Binary
Class,Taxonomic class corresponding to the IUCN Redlist Version 2016-3 (2016).,"""Mammalia"" / ""Aves""",Categorical
Order,Mammalian taxonomic order corresponding to PHYLACINE v1.2.1 (Faurby et al. 2018) and the IUCN Redlist Version 2016-3 (2016). Avian taxonomy was based on most recent peer-reviewed literature. ,19 order names,Categorical
Family,Mammalian taxonomic family corresponding to to PHYLACINE v1.2.1 (Faurby et al. 2018) and the IUCN Redlist Version 2016-3 (2016). Avian taxonomy was based on most recent peer-reviewed literature. ,58 familiy names,Categorical
Mass.g,Body mass in grams.,1-13000000,Continuous
Mass.Method,Method used in cited literature to determine body mass. See Table 2.,N/A,Text annotation
Mass.Method.Reliability,"Ordinal ranking of best available evidence quality, with direct observed evidence ranking highest (3), and expert opinions and taxonomic inference ranking lowest (0) (see Table 2).",0 - 3,Ordinal
Mass.Notes,Notes on body mass designation.,N/A,Text annotation
Mass.Reference,Body mass reference. ,81 references,Text annotation
Diet.Graminoids,"Importance of graminoids (i.e. grasses, excluding bamboo and herbaceous forbs) in diet. In general, 0 indicates that graminoids constitute 0-10% of diet; 1 indicates 11-20%; 2 indicates 21-50%; and 3 indicates 51-100%.",0 - 3,Ordinal
Diet.Browse.Fruit,"Importance of browse (including bamboo and herbaceous forbs) in diet. In general, 0 indicates that browse constitutes 0-10% of diet; 1 indicates 11-20%; 2 indicates 21-50%; and 3 indicates 51-100%.",0 - 3,Ordinal
Diet.Meat,"Importance of meat (vertebrate and invertebrate) in diet. In general, 0 indicates that meat constitutes 0-10% of diet; 1 indicates 11-20%; 2 indicates 21-50%; and 3 indicates 51-100%.",0 - 3,Ordinal
Guild.only.Herbivory,"Dietary guild when excluding meat consumption to focus on herbivore effects on vegetation. One of either ""Browser"" (Diet.Graminoids = 0-1 & Diet.Browse.Fruit = 3), ""Mixed Feeder"" (Diet.Graminoids = 2-3 & Diet.Browse.Fruit = 2-3), or ""Grazer"" (Diet.Graminoids = 3 & Diet.Browse.Fruit = 0-1).","""Browser"", ""Mixed Feeder"", ""Grazer""",Categorical
Guild.w.Omnivory,"Dietary guild including meat consumption. Species with ³2 for meat consumption are scored as omnivores. One of either ""Browser"", ""Mixed Feeder"", ""Grazer"", ""Omnivore"".","""Browser"", ""Mixed Feeder"", ""Grazer"", ""Omnivore""",Categorical
Diet.Method,Method used in cited literature to determine diet. See Table 2.,N/A,Text annotation
Diet.Method.Reliability,"Ordinal ranking of best available evidence quality, with direct observed evidence ranking highest (3), and expert opinions and taxonomic inference ranking lowest (0) (see Table 2). In cases where high quality data contradicted each other strongly we reduced ranking by 1. Likewise, if data values were inferred from a congeneric or confamilial species (in the case of diet and habitat use) we also reduced ranking by 1.",0-3,Ordinal
Diet.Notes,Natural history notes and justification for diet designation and description of ambiguities.,N/A,Text annotation
Diet.Reference,Diet references.,358 references,Text annotation
Fermentation.Type,"Inferred herbivore fermentation type. At times, for completely extinct lineages, we classified hindgut caecum and colon based on body size and similarity to modern species Ð which is justified in Fermentation.Type.Notes column. One of either ""Simple Gut"", ""Hindgut Caecum"", ""Hindgut Colon"", ""Foregut Non-ruminant"", and ""Foregut Ruminant"".","""Simple Gut"", ""Hindgut Caecum"", ""Hindgut Colon"", ""Foregut Non-ruminant"", and ""Foregut Ruminant"".",Categorical
Fermentation.Efficiency,"Fermentation type ranked by fermentation efficiency following Hume (2002 Acta Zoologica Sinica) with Simple Gut = 0, Hindgut Colon and Caecum = 1, Foregut non-ruminant = 2, and Ruminant = 3.",0 - 3,Ordinal
Fermentation.Type.Method,Method used to assign fermentation type.  ,N/A,Text annotation
Fermentation.Type.Method.Reliability,"Ordinal ranking of best available evidence quality, with direct observed evidence ranking highest (3), and expert opinions and taxonomic inference ranking lowest (0) (see Table 2).",0 - 3,Ordinal
Fermentation.Type.Notes,Notes and justification for fermentation designation and description of ambiguities.,N/A,Text annotation
Fermentation.Type.Reference,Fermentation type references.,40 references,Text annotation
