Binomial,Common.Name,Species.Status,Class,Order,Family,Water.Dependence,Water.Dependence.Method,Water.Dependence.Reliability,Water.Dependence.Notes,Water.Dependence.Reference,Scratch.Digging,Well.Digging,Burrowing,Rooting,Digging.Rooting.Methods,Digging.Rooting.Method.Reliability,Digging.Rooting.Notes,Digging.Rooting.Reference
Aepyornis hildebrandti,Hildebrandt's Elephant Bird,Extinct before 1500 CE,Aves,Aepyornithiformes,Aepyornithidae,,,,,,,,,,,,,
Aepyornis maximus,Giant Elephant Bird,Extinct before 1500 CE,Aves,Aepyornithiformes,Aepyornithidae,,,,,,,,,,,,,
Mullerornis modestus,Robust Elephant Bird,Extinct before 1500 CE,Aves,Aepyornithiformes,Aepyornithidae,,,,,,,,,,,,,
Vorombe titan,Titan Elephant Bird,Extinct before 1500 CE,Aves,Aepyornithiformes,Aepyornithidae,,,,,,,,,,,,,
Cnemiornis calcitrans,South Island Goose,Extinct before 1500 CE,Aves,Anseriformes,Anatidae,,,,,,,,,,,,,
Cnemiornis gracilis,North Island Goose,Extinct before 1500 CE,Aves,Anseriformes,Anatidae,,,,,,,,,,,,,
Cygnus buccinator,Trumpeter Swan,Extant,Aves,Anseriformes,Anatidae,High,Inferred from habitat affinities,0,"Inferring free water dependence from habitat affinities. Confidence is low, given low confidence for habitat affinities themselves.",Squires and Anderson 1995 American Midland Naturalist; All About Birds 2020 Cornell Lab of Ornithology; Birds of the World 2020 Cornell Lab of Ornithology,,,,,,,,
Cygnus falconeri,Maltese Swan,Extinct before 1500 CE,Aves,Anseriformes,Anatidae,High,Inferred from habitat affinities,0,"Inferring free water dependence from habitat affinities. Confidence is low, given low confidence for habitat affinities themselves.",Alcover 2000 Tropics,,,,,,,,
Cygnus olor,Mute Swan,Extant,Aves,Anseriformes,Anatidae,High,Inferred from habitat affinities,2,"Inferring free water dependence from habitat affinities. Confidence is low, given low confidence for habitat affinities themselves.",Bailey et al. 2008 The Journal of Wildlife Management; All About Birds 2020 Cornell Lab of Ornithology; Birds of the World 2020 Cornell Lab of Ornithology,,,,,,,,
Natunaornis gigoura,Viti Levu Giant Pigeon,Extinct before 1500 CE,Aves,Columbiformes,Columbidae,,,,,,,,,,,,,
Pezophaps solitaria,Rodrigues Solitaire,Extinct before 1500 CE,Aves,Columbiformes,Columbidae,,,,,,,,,,,,,
Raphus cucullatus,Dodo,Extinct before 1500 CE,Aves,Columbiformes,Columbidae,,,,,,,,,,,,,
Dinornis novaezealandiae,North Island Giant Moa,Extinct before 1500 CE,Aves,Dinornithiformes,Dinornithidae,,,,,,,,,,,,,
Dinornis robustus,South Island Giant Moa,Extinct before 1500 CE,Aves,Dinornithiformes,Dinornithidae,,,,,,,,,,,,,
Anomalopteryx didiformis,Bush Moa,Extinct before 1500 CE,Aves,Dinornithiformes,Emeidae,,,,,,,,,,,,,
Emeus crassus,Eastern Moa,Extinct before 1500 CE,Aves,Dinornithiformes,Emeidae,,,,,,,,,,,,,
Euryapteryx curtus,Coastal Moa,Extinct before 1500 CE,Aves,Dinornithiformes,Emeidae,,,,,,,,,,,,,
Pachyornis australis,Crested Moa,Extinct before 1500 CE,Aves,Dinornithiformes,Emeidae,,,,,,,,,,,,,
Pachyornis elephantopus,Heavy-Footed Moa,Extinct before 1500 CE,Aves,Dinornithiformes,Emeidae,,,,,,,,,,,,,
Pachyornis geranoides,Mantell's Moa,Extinct before 1500 CE,Aves,Dinornithiformes,Emeidae,,,,,,,,,,,,,
Megalapteryx didinus,Upland Moa,Extinct before 1500 CE,Aves,Dinornithiformes,Megalapterygidae,,,,,,,,,,,,,
Genyornis newtoni,Flightless Mihirung,Extinct before 1500 CE,Aves,Gastornithiformes,Dromornithidae,Low,Expert opinion,0,Miharungs apparently had salt glands (although evidence of how this is determined is unclear). This suggests an adaptation to drinking saline waters in arid environments.,Murray and Vickers-Rich 2004 Magnificent mihirungs: the colossal flightless birds of the Australian dreamtime,,,,,,,,
Sylviornis neocaledoniae,New Caledonian Giant Scrubfowl,Extinct before 1500 CE,Aves,Pangalliformes,Sylviornithidae,,,,,,,,,,,,,
Dromaius baudinianus,Kangaroo Island Emu,Extinct after 1500 CE,Aves,Struthiniformes,Casuariidae,,,,,,,,,,,,,
Dromaius minor,King Island Emu,Extinct after 1500 CE,Aves,Struthiniformes,Casuariidae,,,,,,,,,,,,,
Dromaius novaehollandiae,Emu,Extant,Aves,Struthiniformes,Casuariidae,,,,,,,,,,,,,
Rhea americana,Greater Rhea,Extant,Aves,Struthiniformes,Rheidae,,,,,,,,,,,,,
Rhea pennata,Lesser Rhea,Extant,Aves,Struthiniformes,Rheidae,,,,,,,,,,,,,
Casuarius bennetti,Dwarf Cassowary,Extant,Aves,Struthioniformes,Casuariidae,,,,,,,,,,,,,
Casuarius casuarius,Southern Cassowary,Extant,Aves,Struthioniformes,Casuariidae,,,,,,,,,,,,,
Casuarius unappendiculatus,Northern Cassowary,Extant,Aves,Struthioniformes,Casuariidae,,,,,,,,,,,,,
Struthio asiaticus,Asian Ostrich,Extinct before 1500 CE,Aves,Struthioniformes,Struthionidae,,,,,,,,,,,,,
Struthio camelus,Ostrich,Extant,Aves,Struthioniformes,Struthionidae,,,,,,,,,,,,,
Struthio molybdophanes,Somali ostrich,Extant,Aves,Struthioniformes,Struthionidae,,,,,,,,,,,,,
Ailuropoda melanoleuca,Giant Panda,Extant,Mammalia,Carnivora,Ursidae,,,,,,1,,,,Observed digging; Functional morphology,3,"Bears are highly adapted for scratch digging to eat underground plant parts and invertebrates. Indeed, they are considered in some ways ecologically parallel to rooting pigs.",Hatley and Kappelman 1980 Human Ecology
Arctotherium tarijense,Short-faced bear,Extinct before 1500 CE,Mammalia,Carnivora,Ursidae,,,,,,1,,,,Functional morphology,1,"Bears are highly adapted for scratch digging to eat underground plant parts and invertebrates. Indeed, they are considered in some ways ecologically parallel to rooting pigs.",Hatley and Kappelman 1980 Human Ecology
Arctotherium wingei,Short-faced bear,Extinct before 1500 CE,Mammalia,Carnivora,Ursidae,,,,,,1,,,,Functional morphology,1,"Bears are highly adapted for scratch digging to eat underground plant parts and invertebrates. Indeed, they are considered in some ways ecologically parallel to rooting pigs.",Hatley and Kappelman 1980 Human Ecology
Tremarctos floridanus,Florida spectacled bear,Extinct before 1500 CE,Mammalia,Carnivora,Ursidae,,,,,,1,,,,Functional morphology,1,"Bears are highly adapted for scratch digging to eat underground plant parts and invertebrates. Indeed, they are considered in some ways ecologically parallel to rooting pigs.",Hatley and Kappelman 1980 Human Ecology
Tremarctos ornatus,Spectacled Bear,Extant,Mammalia,Carnivora,Ursidae,,,,,,1,,,,Functional morphology,1,"Bears are highly adapted for scratch digging to eat underground plant parts and invertebrates. Indeed, they are considered in some ways ecologically parallel to rooting pigs.",Hatley and Kappelman 1980 Human Ecology
Ursus americanus,American Black Bear,Extant,Mammalia,Carnivora,Ursidae,,,,,,1,,,,Observed digging,3,"American black bears will dig for underground plant parts and cicada nymphs (Lundgren et al. In Preparation). Bears are highly adapted for scratch digging to eat underground plant parts and invertebrates. Indeed, they are considered in some ways ecologically parallel to rooting pigs.",Lundgren et al. In Preparation; Hatley and Kappelman 1980 Human Ecology
Ursus arctos,Brown Bear,Extant,Mammalia,Carnivora,Ursidae,,,,,,1,,,,Observed digging,3,"Grizzlies and likely most brown bears dig for underground plant parts, with profound influences on soil mineralization rates, and plant communities (Tardiff and Stanford 1998). Bears are highly adapted for scratch digging to eat underground plant parts and invertebrates. Indeed, they are considered in some ways ecologically parallel to rooting pigs.",Tardiff and Stanford 1998 Ecology; Hatley and Kappelman 1980 Human Ecology
Ursus spelaeus,Cave bear,Extinct before 1500 CE,Mammalia,Carnivora,Ursidae,,,,,,1,,,,Functional morphology,1,"Bears are highly adapted for scratch digging to eat underground plant parts and invertebrates. Indeed, they are considered in some ways ecologically parallel to rooting pigs.",Hatley and Kappelman 1980 Human Ecology
Ursus thibetanus,Asiatic Black Bear,Extant,Mammalia,Carnivora,Ursidae,,,,,,1,,,,Observed digging,3,"Bears are highly adapted for scratch digging to eat underground plant parts and invertebrates. Indeed, they are considered in some ways ecologically parallel to rooting pigs.",Hatley and Kappelman 1980 Human Ecology
Antilocapra americana,Pronghorn,Extant,Mammalia,Cetartiodactyla,Antilocapridae,Low,Observed water usage,3,"There has been substantial debate about whether pronghorn (particularly those in the hot deserts of North America) require surface water. Evidence suggests that they do. However, like other species, this is likely contingent upon demographics, with lactating females requiring surface water more than non-lactating adults. Overall, water availability has been shown to increase population growth rates and persistence, but some populations exist in hyper-arid deserts without (known) surface water.",Harveson 2006 Pronghorn Symposium; Tluczek 2012 Thesis; Morgart et al. 2005 Wildlife Society Bulletin,,,,,,,,
Capromeryx minor,Dwarf pronghorn,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Antilocapridae,,,,,,,,,,,,,
Stockoceros conklingi,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Antilocapridae,,,,,,,,,,,,,
Tetrameryx shuleri,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Antilocapridae,,,,,,,,,,,,,
Addax nasomaculatus,Addax,Extant,Mammalia,Cetartiodactyla,Bovidae,None,Observed water usage,,"Grazers of harsh deserts, subsisting on desert grasses. Will consume forbs and shrubs during drought, and relishes on bitter melon for water content. Can survive years without drinking water, if forage is of sufficient quality.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Hummel et al. 2008 Comparative Biochemistry and Physiology; Kingdon et al. 2013 Mammals of Africa,,,,,,,,
Aepyceros melampus,Impala,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
