Binomial.1.2,pre_domestic_name,k_medoid_herbivore,Order.1.2,Family.1.2,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,guild,Diet.Graminoids,Diet.Browse.Fruit,Diet.Meat_median,Browsing.Grazing.Method,Browsing.Grazing.Source,Browsing.Grazing.Notes,Fermentation.Type,Inferred.Fermentation.Type,Inferred.Fermentation.Efficiency,Fermentation.Type.Method,Fermentation.Type.Source,Fermentation.Type.Notes,Foraging.Aquatic,Foraging.Terrestrial,Foraging.Arboreal,Foraging.Stratum.Source,Foraging.Stratum.Notes,Food.Handling,Food.Handling.Source,Foot.Type,Foot.Type.Coarse,Foot.Type.Notes,Foot.Type.Source,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Herd.Size.Source,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Digging.Rooting.Source,Other.Notes
Canis_adustus,NA,no,Carnivora,Canidae,10249.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,omnivore,1,3,3,Estimated,9,NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth,NA,Digitigrade,soft,,Kubo et al. 2019,0,3,0,0,Solitary/pairs,C. adustus is flexible and may occasionally form small groups. We chose for single/pair as it appears to be the most common,1,,,,,NA
Canis_aureus,NA,no,Carnivora,Canidae,10345.2,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,omnivore,0,3,3,Estimated,9,NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth,NA,Digitigrade,soft,,Kubo et al. 2019,0,3,0,0,Solitary/pairs,C. aureus is flexible and may occasionally form small groups. We chose for single/pair as it appears to be the most common,1,,,,,NA
Canis_latrans,NA,no,Carnivora,Canidae,13406.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,omnivore,0,1,3,Estimated,NA,NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth,NA,Digitigrade,soft,,Kubo et al. 2019,0,1,0,0,Gregarious,NA,9,Well-digging,,,EJL unpublished data,NA
Chrysocyon_brachyurus,NA,no,Carnivora,Canidae,23249.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,omnivore,0,3,3,Estimated,9,NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth,NA,Digitigrade,soft,,Kubo et al. 2019,0,3,0,0,Solitary/pairs,NA,9,,,,,NA
Dusicyon_avus,NA,no,Carnivora,Canidae,13000,Reported,Ecological Archives E084-094 (2003),NA,NA,omnivore,0,1,3,Estimated Isotopes (C13+N15) Species,"Prevosti, F. J., RamÃ_rez, M. A., Schiaffini, M., Martin, F., Udrizar Sauthier, D. E., Carrera, M., â€_ PardiÃ±as, U. F. J. (2015). Extinctions in near time: new radiocarbon dates point to a very recent disappearance of the South American fox Dusicyon avus (Carnivora: Canidae). Biological Journal of the Linnean Society, 116(3), 704â€“720. https://doi.org/10.1111/bij.12625",Mesocarnivorous diet - mostly meat with plant supplementing,Simple Gut,Simple Gut,0,Reported Order,extrapolated based on extant relatives,NA,0,1,0,"Meloro, Carlo, et al. Evolutionary ecomorphology of the Falkland Islands wolf Dusicyon australis. Mammal Review 47.2 (2017): 159-163.",Similar in morphology to terrestrial species,Mouth,NA,Digitigrade,soft,,Reported morphology Genus,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Theriodictis_tarijensis,NA,no,Carnivora,Canidae,27000,Reported,Ecological Archives E084-094 (2003),NA,NA,omnivore,0,1,3,Imputed,NA,NA,Simple Gut,Simple Gut,0,Reported Order,extrapolated based on extant relatives,NA,0,1,0,Inferred from extant relatives,NA,Mouth,NA,Digitigrade,soft,,Reported morphology Genus,0,0,0,0,NA,NA,NA,,,,,NA
Hyaena_hyaena,NA,no,Carnivora,Hyaenidae,41705.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,omnivore,0,2,3,Estimated,9,NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth,NA,Digitigrade,soft,,Kubo et al. 2019,0,2,0,0,Solitary/pairs,NA,9,,,,,NA
Parahyaena_brunnea,NA,no,Carnivora,Hyaenidae,32200.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,omnivore,0,2,3,Estimated,9,NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,1,NA,Mouth,NA,Digitigrade,soft,,Reported morphology Family,0,2,0,0,Gregarious,NA,9,,,,,NA
Gulo_gulo,NA,no,Carnivora,Mustelidae,17012.6,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,omnivore,0,3,3,Estimated,9,NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth,NA,Plantigrade,soft,,Kubo et al. 2019,0,3,0,0,Solitary/pairs,NA,9,,,,,NA
Meles_anakuma,NA,no,Carnivora,Mustelidae,11500,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 1 (2009)",NA,NA,omnivore,0,2,3,Estimated,9,NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth,NA,Plantigrade,soft,,Reported morphology Genus,0,2,0,0,Gregarious,NA,9,,,,,NA
Meles_meles,NA,no,Carnivora,Mustelidae,13000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,omnivore,0,3,3,Estimated,9,NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth,NA,Plantigrade,soft,,Kubo et al. 2019,3,3,0,3,Gregarious,NA,9,rooting,,,9,NA
Ailuropoda_melanoleuca,NA,no,Carnivora,Ursidae,108400,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,1,Estimated,9,"Bamboo is seen as browse, rather than a grass (taxonomically more correct) because of it is lignified and hence closer to woody vegetation. Furthermore, the feeding strategy matches a concentrale selecter and not a bulk feeder",Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth + Hands,https://animaldiversity.org/accounts/Ailuropoda_melanoleuca/,Plantigrade,soft,,Kubo et al. 2019,0,0,0,3,Solitary/pairs,NA,9,rooting,,,9,NA
Arctotherium_tarijense,NA,no,Carnivora,Ursidae,110170,Reported,Acta Palaeontologica Polonica 51: 407-422 (2006),NA,NA,omnivore,0,2,3,Imputed,"Figueirido, B., & Soibelzon, L. H. (2010). Inferring palaeoecology in extinct tremarctine bears (Carnivora, Ursidae) using geometric morphometrics. Lethaia, 43(2), 209â€“222. https://doi.org/10.1111/j.1502-3931.2009.00184.x",Diet primarily plant-based no further breakdown,Simple Gut,Simple Gut,0,Reported Order,extrapolated based on extant relatives,NA,0,1,0,"Meloro, Carlo, and Alessandro Marques de Oliveira. Elbow Joint Geometry in Bears (Ursidae, Carnivora): a Tool to Infer Paleobiology and Functional Adaptations of Quaternary Fossils. Journal of Mammalian Evolution (2017): 1-14.",Predicted through morphological inference of elbow joint simmilarity to extant species.,Mouth + Hands,Inferred,Plantigrade,soft,,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Arctotherium_wingei,NA,no,Carnivora,Ursidae,73498.6,Assumed isometric based on mandible size,Journal of Vertebrate Paleontology 28: 1232-1237 (2008),NA,NA,omnivore,0,3,2,Imputed,"Figueirido, B., & Soibelzon, L. H. (2010). Inferring palaeoecology in extinct tremarctine bears (Carnivora, Ursidae) using geometric morphometrics. Lethaia, 43(2), 209â€“222. https://doi.org/10.1111/j.1502-3931.2009.00184.x",Entirely herbivorous though sample is based on a single young,Simple Gut,Simple Gut,0,Reported Order,extrapolated based on extant relatives,NA,0,1,0,"Meloro, Carlo, and Alessandro Marques de Oliveira. Elbow Joint Geometry in Bears (Ursidae, Carnivora): a Tool to Infer Paleobiology and Functional Adaptations of Quaternary Fossils. Journal of Mammalian Evolution (2017): 1-14.",Predicted through morphological inference of elbow joint simmilarity to extant species.,Mouth + Hands,Inferred,Plantigrade,soft,,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
