"Binomial.1.2","pre_domestic_name","Order.1.2","Family.1.2","IUCN.Status.1.2","Island.Endemicity","Mass.g","LogMassKg","guild","GuildSimple","Diet.Graminoids","Diet.Browse.Fruit","Diet.Meat_median","Fermentation.Type","Inferred.Fermentation.Type","Inferred.Fermentation.Efficiency","Foot.Type","Substrate.Aquatic","Substrate.Terrestrial","Substrate.Arboreal","Substrate.Cat"
"Tremarctos_floridanus",NA,"Carnivora","Ursidae","EP","Occurs on mainland",150000,2.176091259,"omnivore","browser",0,3,2,"Simple Gut","Simple Gut",0,"Plantigrade",0,1,0,"terrestrial"
"Tremarctos_ornatus",NA,"Carnivora","Ursidae","VU","Occurs on mainland",140000.6,2.146129897,"omnivore","browser",0,3,2,"Simple Gut","Simple Gut",0,"Plantigrade",0,1,0,"terrestrial"
"Ursus_arctos",NA,"Carnivora","Ursidae","LC","Occurs on mainland",180520.4,2.256526287,"omnivore","mixed feeder",3,3,3,"Simple Gut","Simple Gut",0,"Plantigrade",0,1,0,"terrestrial"
"Ursus_spelaeus",NA,"Carnivora","Ursidae","EP","Occurs on mainland",390416.7,2.591528386,"omnivore","mixed feeder",3,3,3,"Simple Gut","Simple Gut",0,"Plantigrade",0,1,0,"terrestrial"
"Antilocapra_americana",NA,"Cetartiodactyla","Antilocapridae","LC","Occurs on mainland",46082.9,1.663539801,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capromeryx_minor",NA,"Cetartiodactyla","Antilocapridae","EP","Occurs on mainland",10510,1.021602716,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Stockoceros_conklingi",NA,"Cetartiodactyla","Antilocapridae","EP","Occurs on mainland",51000,1.707570176,"grazer","grazer",3,0,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Tetrameryx_shuleri",NA,"Cetartiodactyla","Antilocapridae","EP","Occurs on mainland",60000,1.77815125,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Addax_nasomaculatus",NA,"Cetartiodactyla","Bovidae","CR","Occurs on mainland",70000.3,1.845099901,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Aepyceros_melampus",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",52500.1,1.720160131,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Alcelaphus_buselaphus",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",171001.5,2.23299992,"grazer","grazer",3,0,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
